zip,count,rate_10k,date
97002,48,853.6,2020-09-30
97003,240,927.2,2020-09-30
97004,23,524.2,2020-09-30
97005,302,1212.6,2020-09-30
97006,358,567.9,2020-09-30
97007,339,506.3,2020-09-30
97008,199,686.9,2020-09-30
97009,63,811.6,2020-09-30
97013,271,1194.5,2020-09-30
97014,-1,-1,2020-09-30
97015,196,1004,2020-09-30
97016,30,493.2,2020-09-30
97017,-1,-1,2020-09-30
97018,10,512.3,2020-09-30
97019,34,1075.6,2020-09-30
97021,-1,-1,2020-09-30
97022,21,564.2,2020-09-30
97023,52,528.9,2020-09-30
97024,235,2294.5,2020-09-30
97026,126,3302.8,2020-09-30
97027,54,445.1,2020-09-30
97030,514,1400.8,2020-09-30
97031,196,1066.7,2020-09-30
97032,115,2280.4,2020-09-30
97034,76,402,2020-09-30
97035,91,380.6,2020-09-30
97038,108,714.6,2020-09-30
97040,10,803.9,2020-09-30
97041,36,1278,2020-09-30
97042,19,650,2020-09-30
97045,347,675.6,2020-09-30
97048,37,553,2020-09-30
97049,-1,-1,2020-09-30
97051,57,357.2,2020-09-30
97053,-1,-1,2020-09-30
97054,-1,-1,2020-09-30
97055,75,432.3,2020-09-30
97056,31,269.6,2020-09-30
97058,252,1270.3,2020-09-30
97060,260,1224.9,2020-09-30
97062,267,973.2,2020-09-30
97063,-1,-1,2020-09-30
97064,12,346.4,2020-09-30
97067,13,608,2020-09-30
97068,94,332.1,2020-09-30
97070,162,773,2020-09-30
97071,1056,3666.3,2020-09-30
97078,271,1264.5,2020-09-30
97080,548,1340.2,2020-09-30
97086,226,868.9,2020-09-30
97089,90,750.9,2020-09-30
97101,27,711.6,2020-09-30
97103,70,415.2,2020-09-30
97106,29,637.4,2020-09-30
97107,0,0,2020-09-30
97110,-1,-1,2020-09-30
97111,15,475.3,2020-09-30
97112,0,0,2020-09-30
97113,287,2027.6,2020-09-30
97114,49,1029,2020-09-30
97115,23,555.7,2020-09-30
97116,296,1228,2020-09-30
97119,18,407.2,2020-09-30
97121,10,723.1,2020-09-30
97123,617,1385.4,2020-09-30
97124,370,765.3,2020-09-30
97127,29,775.4,2020-09-30
97128,404,1117.8,2020-09-30
97131,-1,-1,2020-09-30
97132,164,580,2020-09-30
97133,13,325,2020-09-30
97136,-1,-1,2020-09-30
97137,-1,-1,2020-09-30
97138,29,289.4,2020-09-30
97140,91,387.7,2020-09-30
97141,36,274,2020-09-30
97146,80,1354.8,2020-09-30
97148,19,557.8,2020-09-30
97201,70,452.1,2020-09-30
97202,173,446.3,2020-09-30
97203,325,1047,2020-09-30
97204,-1,-1,2020-09-30
97205,23,299.2,2020-09-30
97206,301,632.4,2020-09-30
97209,127,849.5,2020-09-30
97210,45,413.3,2020-09-30
97211,189,604.7,2020-09-30
97212,90,373,2020-09-30
97213,141,482.6,2020-09-30
97214,153,642.5,2020-09-30
97215,109,665.6,2020-09-30
97216,165,1058.1,2020-09-30
97217,189,601.2,2020-09-30
97218,188,1291.1,2020-09-30
97219,175,452.1,2020-09-30
97220,327,1147.6,2020-09-30
97221,45,386.9,2020-09-30
97222,224,640.4,2020-09-30
97223,287,614.6,2020-09-30
97224,181,581.6,2020-09-30
97225,143,591.5,2020-09-30
97227,25,649.9,2020-09-30
97229,239,410.5,2020-09-30
97230,534,1343.3,2020-09-30
97231,18,420.6,2020-09-30
97232,43,374.8,2020-09-30
97233,830,2108.4,2020-09-30
97236,782,2122,2020-09-30
97239,73,515.9,2020-09-30
97266,397,1192.2,2020-09-30
97267,174,564.2,2020-09-30
97301,772,1442.5,2020-09-30
97302,236,635.6,2020-09-30
97303,449,1161.3,2020-09-30
97304,297,1043.8,2020-09-30
97305,811,2018.6,2020-09-30
97306,255,932,2020-09-30
97317,283,1162,2020-09-30
97321,119,477.4,2020-09-30
97322,210,616.9,2020-09-30
97324,-1,-1,2020-09-30
97325,43,650.1,2020-09-30
97327,-1,-1,2020-09-30
97330,152,366.5,2020-09-30
97331,27,1121.3,2020-09-30
97333,65,304.1,2020-09-30
97338,56,279.4,2020-09-30
97341,-1,-1,2020-09-30
97344,-1,-1,2020-09-30
97347,-1,-1,2020-09-30
97348,-1,-1,2020-09-30
97351,95,921.7,2020-09-30
97352,21,374.7,2020-09-30
97355,105,367,2020-09-30
97358,-1,-1,2020-09-30
97360,-1,-1,2020-09-30
97361,66,586.2,2020-09-30
97362,60,1383.1,2020-09-30
97365,315,2931.9,2020-09-30
97366,10,684.9,2020-09-30
97367,92,977.1,2020-09-30
97368,-1,-1,2020-09-30
97370,33,399,2020-09-30
97374,13,246.9,2020-09-30
97375,14,1118.2,2020-09-30
97376,-1,-1,2020-09-30
97378,29,326.5,2020-09-30
97380,14,571.7,2020-09-30
97381,120,815.7,2020-09-30
97383,61,636.3,2020-09-30
97385,24,736.9,2020-09-30
97386,24,176.9,2020-09-30
97389,-1,-1,2020-09-30
97391,19,355.5,2020-09-30
97392,35,674.2,2020-09-30
97394,-1,-1,2020-09-30
97396,-1,-1,2020-09-30
97401,246,607.1,2020-09-30
97402,199,395.3,2020-09-30
97403,42,361.4,2020-09-30
97404,106,328.6,2020-09-30
97405,89,199.4,2020-09-30
97408,51,435.5,2020-09-30
97411,-1,-1,2020-09-30
97415,22,156.6,2020-09-30
97417,-1,-1,2020-09-30
97419,-1,-1,2020-09-30
97420,71,258.4,2020-09-30
97423,13,190.9,2020-09-30
97424,40,227.4,2020-09-30
97426,18,185.3,2020-09-30
97431,-1,-1,2020-09-30
97435,-1,-1,2020-09-30
97437,-1,-1,2020-09-30
97438,-1,-1,2020-09-30
97439,22,153.4,2020-09-30
97442,-1,-1,2020-09-30
97443,-1,-1,2020-09-30
97444,-1,-1,2020-09-30
97446,33,685.8,2020-09-30
97448,18,147,2020-09-30
97449,-1,-1,2020-09-30
97452,-1,-1,2020-09-30
97454,-1,-1,2020-09-30
97455,-1,-1,2020-09-30
97456,-1,-1,2020-09-30
97457,27,264.5,2020-09-30
97458,-1,-1,2020-09-30
97459,57,404.4,2020-09-30
97462,13,330.1,2020-09-30
97463,-1,-1,2020-09-30
97465,-1,-1,2020-09-30
97467,-1,-1,2020-09-30
97469,-1,-1,2020-09-30
97470,38,190.1,2020-09-30
97471,51,175.3,2020-09-30
97477,123,333.6,2020-09-30
97478,150,405.3,2020-09-30
97479,43,452.4,2020-09-30
97487,28,331.4,2020-09-30
97488,-1,-1,2020-09-30
97495,-1,-1,2020-09-30
97496,10,131,2020-09-30
97497,0,0,2020-09-30
97498,-1,-1,2020-09-30
97499,-1,-1,2020-09-30
97501,402,954.5,2020-09-30
97502,122,440.5,2020-09-30
97503,154,1462.8,2020-09-30
97504,215,483.8,2020-09-30
97520,62,253.4,2020-09-30
97523,12,191.6,2020-09-30
97524,59,408.1,2020-09-30
97525,18,391.2,2020-09-30
97526,83,242.7,2020-09-30
97527,79,234.3,2020-09-30
97530,19,274.7,2020-09-30
97532,-1,-1,2020-09-30
97535,29,574.6,2020-09-30
97537,19,274.6,2020-09-30
97538,0,0,2020-09-30
97539,-1,-1,2020-09-30
97540,48,605.3,2020-09-30
97541,-1,-1,2020-09-30
97544,0,0,2020-09-30
97601,118,525.4,2020-09-30
97603,97,328.5,2020-09-30
97623,-1,-1,2020-09-30
97624,18,514.3,2020-09-30
97630,32,627.9,2020-09-30
97632,-1,-1,2020-09-30
97633,13,955.2,2020-09-30
97641,0,0,2020-09-30
97701,223,378,2020-09-30
97702,269,662.8,2020-09-30
97703,116,349.5,2020-09-30
97707,-1,-1,2020-09-30
97708,-1,-1,2020-09-30
97720,-1,-1,2020-09-30
97734,27,969.1,2020-09-30
97738,-1,-1,2020-09-30
97739,24,217.8,2020-09-30
97741,183,1536.3,2020-09-30
97753,-1,-1,2020-09-30
97754,59,317.6,2020-09-30
97756,163,485.8,2020-09-30
97759,28,444.9,2020-09-30
97760,29,429.2,2020-09-30
97761,315,7900.7,2020-09-30
97801,604,2806.6,2020-09-30
97813,10,768,2020-09-30
97814,88,710.7,2020-09-30
97818,355,8535.7,2020-09-30
97820,0,0,2020-09-30
97824,10,602,2020-09-30
97826,25,2304.1,2020-09-30
97827,15,570.8,2020-09-30
97828,15,480.2,2020-09-30
97836,11,554.7,2020-09-30
97838,1545,6095.6,2020-09-30
97844,131,3441.9,2020-09-30
97845,-1,-1,2020-09-30
97846,-1,-1,2020-09-30
97850,386,2276.6,2020-09-30
97862,157,1345.8,2020-09-30
97865,-1,-1,2020-09-30
97868,22,1105,2020-09-30
97869,-1,-1,2020-09-30
97875,132,5057.5,2020-09-30
97882,462,5953.6,2020-09-30
97883,11,444.8,2020-09-30
97885,-1,-1,2020-09-30
97886,13,1140.4,2020-09-30
97913,267,4830.8,2020-09-30
97914,1209,6295.2,2020-09-30
97918,123,2711,2020-09-30